model,baseline_accuracy,tuned_accuracy,baseline_roc_auc,tuned_roc_auc,baseline_precision@20,tuned_precision@20,roc_auc_improvement
LogisticRegression,0.7640845070422535,0.7570422535211268,0.8520625889046942,0.8543604333078016,0.6,0.7,0.0022978444031074297
DecisionTree,0.8133802816901409,0.7077464788732394,0.6054820002188424,0.6139621402779298,0.25,0.45,0.008480140059087482
RandomForest,0.8591549295774648,0.8345070422535211,0.8033701717912244,0.8082941240835978,0.5,0.45,0.0049239522923734125
XGBoost,0.8485915492957746,0.8591549295774648,0.7823613086770981,0.7808294124083597,0.4,0.45,-0.0015318962687383975
