model,roc_auc,precision@20,recall@20,precision@30,recall@30,precision@50,recall@50
LogisticRegression,0.8141097424412095,0.7,0.2978723404255319,0.6,0.3829787234042553,0.5,0.5319148936170213
DecisionTree,0.6329571883883194,0.3,0.1276595744680851,0.3,0.19148936170212766,0.28,0.2978723404255319
RandomForest,0.789301404083039,0.4,0.1702127659574468,0.4666666666666667,0.2978723404255319,0.46,0.48936170212765956
XGBoost,0.7520027564820397,0.7,0.2978723404255319,0.5666666666666667,0.3617021276595745,0.4,0.425531914893617
